"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","293582","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_async_replication","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","99425","test_config_parameters","tests.integration","2026-08-24","passed","2026-08-24","","test_config","",""
"Test that async replication works when scaling the clusters.","0","test_scaling","tests.integration.ha_tests","2026-08-24","skipped","2026-08-24","","test_async_replication","",""
"Build and deploy three unit of PostgreSQL.","156717","test_build_and_deploy","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_synchronous_policy","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","138015","test_plugin_objects","tests.integration","2026-08-24","passed","2026-08-24","","test_plugins","",""
"","95790","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_self_healing_1","",""
"Test superuser actions and the request for more permissions.","727","test_user_with_extra_roles","tests.integration.new_relations","2026-08-24","passed","2026-08-24","","test_new_relations_1","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-08-24","skipped","2026-08-24","","test_backups_gcp","",""
"Test basic functionality of database relation interface.","321743","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-08-24","passed","2026-08-24","","test_new_relations_1","",""
"","35","test_database_is_up[1]","tests.integration","2026-08-24","passed","2026-08-24","","test_charm","",""
"Tests deploying and relating to the Indico charm.","191643","test_indico_datatabase","tests.integration.new_relations","2026-08-24","passed","2026-08-24","","test_new_relations_2","",""
"Test password rotation action.","154196","test_password_rotation","tests.integration","2026-08-24","passed","2026-08-24","","test_password_rotation","",""
"Remove unit with force while storage is alive.","93313","test_app_force_removal","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_smoke","",""
"","32","test_labels_consistency_across_pods[1]","tests.integration","2026-08-24","passed","2026-08-24","","test_charm","",""
"Test that an application can connect to different clusters of the same database.","109455","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-08-24","passed","2026-08-24","","test_new_relations_1","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-08-24","skipped","2026-08-24","","test_upgrade_to_primary_label","",""
"","15384","test_default_all","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_synchronous_policy","",""
"","2055","test_settings_are_correct[2]","tests.integration","2026-08-24","passed","2026-08-24","","test_charm","",""
"","82898","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_self_healing_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","35835","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1878040","test_pitr_backup_ceph","tests.integration","2026-08-24","passed","2026-08-24","","test_backups_pitr_ceph","",""
"Build and deploy the charm and saturate its pgdata volume.","804980","test_filling_and_emptying_pgdata_storage","tests.integration","2026-08-24","passed","2026-08-24","","test_storage","",""
"Completely cut and restore network.","243827","test_network_cut","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_self_healing_1","",""
"Build the charm and deploy it.","152160","test_deploy_active","tests.integration","2026-08-24","passed","2026-08-24","","test_password_rotation","",""
"Test that there is no read-only endpoint in a standalone cluster.","125100","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-08-24","passed","2026-08-24","","test_new_relations_1","",""
"Test data is replicated to new units after a scale up.","240685","test_scale_down_and_up","tests.integration","2026-08-24","passed","2026-08-24","","test_charm","",""
"Tests that the cluster maintains a primary after the primary is deleted.","66432","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-08-24","passed","2026-08-24","","test_charm","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-24","skipped","2026-08-24","","test_async_replication","",""
"","82506","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-08-24","passed","2026-08-24","","test_self_healing_1","",""
"Test that the password can't be set to an empty string.","9099","test_empty_password","tests.integration","2026-08-24","passed","2026-08-24","","test_password_rotation","",""
"","325480","test_tls","tests.integration","2026-08-24","passed","2026-08-24","","test_tls","",""
"Deploy the charm and wait for active/idle.","149433","test_deploy","tests.integration","2026-08-24","passed","2026-08-24","","test_headless_service","",""
"Test that two different application connect to the database with different credentials.","102084","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-24","passed","2026-08-24","","test_new_relations_1","",""
