"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_upgrade","tests.integration.ha_tests","2026-08-02","skipped","2026-08-02","","test_upgrade_to_primary_label","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","642559","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-08-02","failed","2026-08-02","","test_self_healing_1","",""
"Tries deploying an arm64 charm on amd64 host.","51223","test_arm_charm_on_amd_host","tests.integration","2026-08-02","passed","2026-08-02","","test_wrong_arch","",""
"Test restart of all the units simultaneously.","","test_restart","tests.integration.ha_tests","","unknown","","","test_restart","",""
"Test async replication between two PostgreSQL clusters.","216946","test_async_replication","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"","43","test_database_is_up[2]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test that the charm can be deployed with a storage with more restrictive permissions.","70931","test_storage_with_more_restrictive_permissions","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Tests deploying and relating to the Indico charm.","234359","test_indico_datatabase","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_2","",""
"Test that passwords don't get exposed on postgresql logs.","926","test_no_password_exposed_on_logs","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-02","skipped","2026-08-02","","test_rollback_to_master_label","",""
"Test data persists through a failure.","93156","test_persist_data_through_failure","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test that an application can request additional databases using the same interface.","104031","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_gcp","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1691577","test_pitr_backup_ceph","tests.integration","2026-08-02","passed","2026-08-02","","test_backups_pitr_ceph","",""
"Test that async replication fails back correctly.","82999","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","198993","test_deploy_stable","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade_from_stable","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","595066","test_backup_ceph","tests.integration","2026-08-02","passed","2026-08-02","","test_backups_ceph","",""
"Remove unit with force while storage is alive.","97196","test_app_force_removal","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_smoke","",""
"Test that the user is removed when the relation is broken.","67542","test_relation_broken","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Build the charm and deploy it.","162448","test_deploy_active","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"","59","test_database_is_up[1]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Deploy both charms (application and database) to use in the tests.","74839","test_deploy_charms","tests.integration.relations","2026-08-02","passed","2026-08-02","","test_relations","",""
"Test that a relation with no database name doesn't block the charm.","64959","test_relation_with_no_database_name","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"","89584","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","588254","test_app_resources_conflicts","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_smoke","",""
"","0","test_block_on_missing_region","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_gcp","",""
"","15315","test_default_all","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_synchronous_policy","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_aws","",""
"","3081","test_settings_are_correct[0]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","98","test_application_created_required_resources","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_pitr_aws","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-08-02","skipped","2026-08-02","","test_charm","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-08-02","skipped","2026-08-02","","test_wrong_arch","",""
"","86292","test_roles_blocking","tests.integration","2026-08-02","passed","2026-08-02","","test_db","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","37029","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Test password rotation action.","157070","test_password_rotation","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"Test superuser actions and the request for more permissions.","793","test_user_with_extra_roles","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","230277","test_build_and_deploy","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_2","",""
"Test basic functionality of database relation interface.","151511","test_database_deploy_clientapps","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_2","",""
"Test that the pre-upgrade-check action runs successfully.","10199","test_pre_upgrade_check","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade_from_stable","",""
"","89","test_exporter_is_up[1]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","11263","test_pre_upgrade_check","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","100969","test_trust_blocked_deployment","tests.integration","2026-08-02","passed","2026-08-02","","test_trust","",""
"Scale the database to zero units and scale up again.","206505","test_scaling_to_zero","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_2","",""
"Kill primary unit, check reelection.","84268","test_reelection","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_replication","",""
"Build and deploy a PostgreSQL cluster and a test application.","","test_deploy","tests.integration.ha_tests","","unknown","","","test_restart","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","31006","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Test wal_compression configuration parameter.","50561","test_wal_compression_config","tests.integration","2026-08-02","passed","2026-08-02","","test_config","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-08-02","skipped","2026-08-02","","test_rollback_to_master_label","",""
"Test that there is no read-only endpoint in a standalone cluster.","103528","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"","40611","test_application_removal","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","82087","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_pitr_gcp","",""
"","29","test_labels_consistency_across_pods[2]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","29254","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","171666","test_mattermost_db","tests.integration","2026-08-02","passed","2026-08-02","","test_tls","",""
"","96043","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Test that a previously broken relation would be functional if restored.","135744","test_restablish_relation","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","23358","test_automatic_failover_after_leader_issue","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","259318","test_glauth_integration","tests.integration","2026-08-02","passed","2026-08-02","","test_ldap","",""
"Test charm deploy in dirty environment with garbage storage.","106879","test_app_garbage_ignorance","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_smoke","",""
"","322225","test_upgrade_from_edge","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade","",""
"Test that in general, there is no change when password validation fails.","11583","test_no_password_change_on_invalid_password","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"Test promoting the standby cluster.","78967","test_promote_standby","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","138469","test_plugin_objects","tests.integration","2026-08-02","passed","2026-08-02","","test_plugins","",""
"Test that the admin role gives access to all the databases.","169202","test_admin_role","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","205369","test_build_and_deploy","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Test switching over to the second cluster.","177126","test_switchover","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","35798","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"","369261","test_tls","tests.integration","2026-08-02","passed","2026-08-02","","test_tls","",""
"Test basic functionality of database relation interface.","302251","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"","21172","test_switchover_sync_standby","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","40133","test_majority","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_synchronous_policy","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","163015","test_build_and_deploy","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","2056","test_settings_are_correct[2]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","105","test_labels_consistency_across_pods[0]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test data is replicated to new units after a scale up.","240957","test_scale_down_and_up","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Deploy the charm and wait for active/idle.","184095","test_deploy","tests.integration","2026-08-02","passed","2026-08-02","","test_headless_service","",""
"Build and deploy three units of PostgreSQL.","7818","test_build_and_deploy","tests.integration","2026-08-02","passed","2026-08-02","","test_tls","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_gcp","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2472","test_password_from_secret_same_as_cli","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"","43","test_database_is_up[0]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test that async replication works when scaling the clusters.","603521","test_scaling","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"Test worker process configuration parameters are applied correctly.","47107","test_worker_process_configs","tests.integration","2026-08-02","passed","2026-08-02","","test_config","",""
"Test that two different application connect to the database with different credentials.","105914","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Check that writes in one cluster are not replicated to another cluster.","134158","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_replication","",""
"","273792","test_extensions_blocking","tests.integration","2026-08-02","passed","2026-08-02","","test_db","",""
"","211450","test_pg_hba","tests.integration","2026-08-02","passed","2026-08-02","","test_pg_hba","",""
"","94034","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Test that user can't connect with empty password.","2049","test_db_connection_with_empty_password","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"","94","test_exporter_is_up[2]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Build and deploy the charm and saturate its pgdata volume.","663792","test_filling_and_emptying_pgdata_storage","tests.integration","2026-08-02","passed","2026-08-02","","test_storage","",""
"","83239","test_remove_tls","tests.integration","2026-08-02","passed","2026-08-02","","test_tls","",""
"Test that's possible to change PostgreSQL parameters.","74209","test_postgresql_parameters_change","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test that the relation can be broken and re-established.","135902","test_reestablish_relation","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"Write to primary, read data from secondaries (check consistency).","15468","test_consistency","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_replication","",""
"","157411","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-08-02","passed","2026-08-02","","test_relations","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","198577","test_deploy_latest","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade","",""
"Tests that the cluster maintains a primary after the primary is deleted.","65450","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","42220","test_constant","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_synchronous_policy","",""
"","80736","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Build and deploy three unit of PostgreSQL.","183694","test_build_and_deploy","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_replication","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","264990","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-02","skipped","2026-08-02","","test_upgrade_to_primary_label","",""
"Test that check relation data.","256255","test_relations","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_relations_coherence","",""
"Test updating from stable channel.","280860","test_upgrade_from_stable","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade_from_stable","",""
"Test that the password can't be set to an empty string.","9159","test_empty_password","tests.integration","2026-08-02","passed","2026-08-02","","test_password_rotation","",""
"","2054","test_settings_are_correct[1]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Test data persists through a graceful restart.","19243","test_persist_data_through_graceful_restart","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","406146","test_discourse","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_2","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","43936","test_deploy_without_trust","tests.integration","2026-08-02","passed","2026-08-02","","test_trust","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","437253","test_finos_waltz_db","tests.integration","2026-08-02","passed","2026-08-02","","test_db","",""
"Test that an application can connect to different clusters of the same database.","125936","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","164218","test_build_and_deploy","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_synchronous_policy","",""
"Test the audit plugin.","141182","test_audit_plugin","tests.integration","2026-08-02","passed","2026-08-02","","test_audit","",""
"","35","test_labels_consistency_across_pods[1]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","320134","test_invalid_extra_user_roles","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_gcp","",""
"Delete headless service, verify error state, recreate, and recover.","28381","test_headless_service_error_and_recovery","tests.integration","2026-08-02","passed","2026-08-02","","test_headless_service","",""
"Test that there is read-only endpoint in a scaled up cluster.","215536","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"Redeploy the charm in the same model to test that it works.","155189","test_redeploy_charm_same_model","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"","110","test_exporter_is_up[0]","tests.integration","2026-08-02","passed","2026-08-02","","test_charm","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","2026-08-02","skipped","2026-08-02","","test_self_healing_1","",""
"","83407","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_self_healing_1","",""
"Build and deploy three units of PostgreSQL.","74362","test_build_and_deploy","tests.integration","2026-08-02","passed","2026-08-02","","test_ldap","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","97257","test_config_parameters","tests.integration","2026-08-02","passed","2026-08-02","","test_config","",""
"Test that an application can connect to different clusters of the same database.","115214","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-08-02","passed","2026-08-02","","test_new_relations_1","",""
"","362200","test_fail_and_rollback","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_upgrade","",""
"Test that async replication fails over correctly.","85668","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-08-02","passed","2026-08-02","","test_async_replication","",""
"","0","test_delete_pod","tests.integration","2026-08-02","skipped","2026-08-02","","test_backups_gcp","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","187379","test_plugins","tests.integration","2026-08-02","passed","2026-08-02","","test_plugins","",""
