"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that an application can connect to different clusters of the same database.","94830","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-16","passed","2026-08-16","","test_new_relations_1","",""
"Scale the database to zero units and scale up again.","199350","test_scaling_to_zero","tests.integration.ha_tests","2026-08-16","passed","2026-08-16","","test_self_healing_2","",""
"Test that async replication works when scaling the clusters.","554921","test_scaling","tests.integration.ha_tests","2026-08-16","passed","2026-08-16","","test_async_replication","",""
"","51","test_exporter_is_up[0]","tests.integration","2026-08-16","passed","2026-08-16","","test_charm","",""
"","228164","test_invalid_extra_user_roles","tests.integration.new_relations","2026-08-16","passed","2026-08-16","","test_new_relations_1","",""
"","2054","test_settings_are_correct[2]","tests.integration","2026-08-16","passed","2026-08-16","","test_charm","",""
"Test that an application can request additional databases using the same interface.","76809","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-08-16","passed","2026-08-16","","test_new_relations_1","",""
"Test password rotation action.","159670","test_password_rotation","tests.integration","2026-08-16","passed","2026-08-16","","test_password_rotation","",""
"Test that there is no read-only endpoint in a standalone cluster.","84704","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-08-16","passed","2026-08-16","","test_new_relations_1","",""
"Write to primary, read data from secondaries (check consistency).","15482","test_consistency","tests.integration.ha_tests","2026-08-16","passed","2026-08-16","","test_replication","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","2026-08-16","skipped","2026-08-16","","test_self_healing_1","",""
"","154856","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-08-16","passed","2026-08-16","","test_relations","",""
"Build and deploy three unit of PostgreSQL.","263100","test_build_and_deploy","tests.integration.ha_tests","2026-08-16","passed","2026-08-16","","test_self_healing_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","585301","test_app_resources_conflicts","tests.integration.ha_tests","2026-08-16","passed","2026-08-16","","test_smoke","",""
"","324960","test_fail_and_rollback","tests.integration.ha_tests","2026-08-16","passed","2026-08-16","","test_upgrade","",""
"Test that in general, there is no change when password validation fails.","11545","test_no_password_change_on_invalid_password","tests.integration","2026-08-16","passed","2026-08-16","","test_password_rotation","",""
"","2052","test_settings_are_correct[1]","tests.integration","2026-08-16","passed","2026-08-16","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-16","skipped","2026-08-16","","test_rollback_to_master_label","",""
"","49","test_exporter_is_up[1]","tests.integration","2026-08-16","passed","2026-08-16","","test_charm","",""
