"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","","test_pitr_backup_aws","tests.integration","","unknown","","","test_backups_pitr_aws","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","40777","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"","98243","test_remove_tls","tests.integration","2026-07-26","passed","2026-07-26","","test_tls","",""
"Test that the pre-upgrade-check action runs successfully.","6133","test_pre_upgrade_check","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade","",""
"Test that passwords don't get exposed on postgresql logs.","922","test_no_password_exposed_on_logs","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_aws","",""
"Test the audit plugin.","142884","test_audit_plugin","tests.integration","2026-07-26","passed","2026-07-26","","test_audit","",""
"Test that async replication fails back correctly.","85065","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"","351070","test_invalid_extra_user_roles","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Test that the password can't be set to an empty string.","8135","test_empty_password","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","63519","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"","16","test_labels_consistency_across_pods[0]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test that's possible to change PostgreSQL parameters.","67659","test_postgresql_parameters_change","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test that in general, there is no change when password validation fails.","11650","test_no_password_change_on_invalid_password","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"","0","test_block_on_missing_region","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_gcp","",""
"Test that there is no read-only endpoint in a standalone cluster.","123355","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-07-26","skipped","2026-07-26","","test_rollback_to_master_label","",""
"","14","test_labels_consistency_across_pods[1]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","239173","test_glauth_integration","tests.integration","2026-07-26","passed","2026-07-26","","test_ldap","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","19506","test_automatic_failover_after_leader_issue","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test restart of all the units simultaneously.","112584","test_restart","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_restart","",""
"","273527","test_upgrade_from_edge","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","97287","test_config_parameters","tests.integration","2026-07-26","passed","2026-07-26","","test_config","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","394453","test_finos_waltz_db","tests.integration","2026-07-26","passed","2026-07-26","","test_db","",""
"","80720","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Test data persists through a failure.","101254","test_persist_data_through_failure","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","12388","test_pre_upgrade_check","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade_from_stable","",""
"","366817","test_tls","tests.integration","2026-07-26","passed","2026-07-26","","test_tls","",""
"Test that there is read-only endpoint in a scaled up cluster.","241008","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Test promoting the standby cluster.","76135","test_promote_standby","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","182934","test_mattermost_db","tests.integration","2026-07-26","passed","2026-07-26","","test_tls","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_pitr_gcp","",""
"","2042","test_settings_are_correct[1]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","42","test_exporter_is_up[0]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-07-26","skipped","2026-07-26","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","34493","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"","81931","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Build and deploy three unit of PostgreSQL.","156907","test_build_and_deploy","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_synchronous_policy","",""
"","89209","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-07-26","skipped","2026-07-26","","test_rollback_to_master_label","",""
"Test that the charm can be deployed with a storage with more restrictive permissions.","77882","test_storage_with_more_restrictive_permissions","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","42","test_exporter_is_up[1]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","38","test_exporter_is_up[2]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Build and deploy a PostgreSQL cluster and a test application.","206972","test_deploy","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_restart","",""
"","15","test_database_is_up[0]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test basic functionality of database relation interface.","320175","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"","2124","test_settings_are_correct[2]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test that the admin role gives access to all the databases.","173133","test_admin_role","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"","131865","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-07-26","passed","2026-07-26","","test_relations","",""
"","94112","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Test that an application can request additional databases using the same interface.","108945","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Tries deploying an arm64 charm on amd64 host.","51518","test_arm_charm_on_amd_host","tests.integration","2026-07-26","passed","2026-07-26","","test_wrong_arch","",""
"Build and deploy three unit of PostgreSQL.","229121","test_build_and_deploy","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Test that the user is removed when the relation is broken.","70462","test_relation_broken","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Redeploy the charm in the same model to test that it works.","187114","test_redeploy_charm_same_model","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Deploy both charms (application and database) to use in the tests.","82593","test_deploy_charms","tests.integration.relations","2026-07-26","passed","2026-07-26","","test_relations","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","220318","test_build_and_deploy","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","162644","test_trust_blocked_deployment","tests.integration","2026-07-26","passed","2026-07-26","","test_trust","",""
"","33580","test_application_removal","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","182995","test_build_and_deploy","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_replication","",""
"","0","test_delete_pod","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_gcp","",""
"Test updating from stable channel.","289956","test_upgrade_from_stable","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade_from_stable","",""
"Test application deploy in dirty environment with garbage storage from another application.","586877","test_app_resources_conflicts","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_smoke","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","44457","test_deploy_without_trust","tests.integration","2026-07-26","passed","2026-07-26","","test_trust","",""
"","15571","test_default_all","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_synchronous_policy","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","148276","test_plugin_objects","tests.integration","2026-07-26","passed","2026-07-26","","test_plugins","",""
"","435559","test_discourse","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_2","",""
"Build and deploy three units of PostgreSQL.","96562","test_build_and_deploy","tests.integration","2026-07-26","passed","2026-07-26","","test_ldap","",""
"Scale the database to zero units and scale up again.","198985","test_scaling_to_zero","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_2","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","276971","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"Test that a previously broken relation would be functional if restored.","153303","test_restablish_relation","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Test data persists through a graceful restart.","19716","test_persist_data_through_graceful_restart","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-07-26","skipped","2026-07-26","","test_upgrade_to_primary_label","",""
"Build the charm and deploy it.","147794","test_deploy_active","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","29904","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"","80471","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_gcp","",""
"Delete headless service, verify error state, recreate, and recover.","32477","test_headless_service_error_and_recovery","tests.integration","2026-07-26","passed","2026-07-26","","test_headless_service","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-07-26","skipped","2026-07-26","","test_upgrade_to_primary_label","",""
"Test that two different application connect to the database with different credentials.","94555","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"","201516","test_pg_hba","tests.integration","2026-07-26","passed","2026-07-26","","test_pg_hba","",""
"Remove unit with force while storage is alive.","106316","test_app_force_removal","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_smoke","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","163462","test_deploy_latest","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade","",""
"","15","test_database_is_up[1]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","320959","test_fail_and_rollback","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade","",""
"Test password rotation action.","143912","test_password_rotation","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_gcp","",""
"Test that async replication works when scaling the clusters.","594697","test_scaling","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"Test that a relation with no database name doesn't block the charm.","65797","test_relation_with_no_database_name","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1707351","test_pitr_backup_ceph","tests.integration","2026-07-26","passed","2026-07-26","","test_backups_pitr_ceph","",""
"Test that the relation can be broken and re-established.","152576","test_reestablish_relation","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-07-26","skipped","2026-07-26","","test_wrong_arch","",""
"Test switching over to the second cluster.","179790","test_switchover","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"","290588","test_extensions_blocking","tests.integration","2026-07-26","passed","2026-07-26","","test_db","",""
"","13","test_database_is_up[2]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","41092","test_constant","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_synchronous_policy","",""
"","11","test_labels_consistency_across_pods[2]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","40272","test_majority","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_synchronous_policy","",""
"Test that user can't connect with empty password.","2045","test_db_connection_with_empty_password","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","184370","test_plugins","tests.integration","2026-07-26","passed","2026-07-26","","test_plugins","",""
"Test that an application can connect to different clusters of the same database.","148910","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Test basic functionality of database relation interface.","163941","test_database_deploy_clientapps","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_2","",""
"Test superuser actions and the request for more permissions.","799","test_user_with_extra_roles","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"","27","test_application_created_required_resources","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"","92276","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","194502","test_deploy_stable","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_upgrade_from_stable","",""
"Build and deploy three unit of PostgreSQL.","236483","test_build_and_deploy","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_2","",""
"Completely cut and restore network.","250543","test_network_cut","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Tests that the cluster maintains a primary after the primary is deleted.","64152","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Build and deploy three units of PostgreSQL.","6529","test_build_and_deploy","tests.integration","2026-07-26","passed","2026-07-26","","test_tls","",""
"Deploy the charm and wait for active/idle.","160757","test_deploy","tests.integration","2026-07-26","passed","2026-07-26","","test_headless_service","",""
"Test that check relation data.","315804","test_relations","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_relations_coherence","",""
"Test worker process configuration parameters are applied correctly.","47141","test_worker_process_configs","tests.integration","2026-07-26","passed","2026-07-26","","test_config","",""
"","21488","test_switchover_sync_standby","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2026-07-26","skipped","2026-07-26","","test_backups_gcp","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2473","test_password_from_secret_same_as_cli","tests.integration","2026-07-26","passed","2026-07-26","","test_password_rotation","",""
"Check that writes in one cluster are not replicated to another cluster.","127532","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","33221","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_self_healing_1","",""
"Test wal_compression configuration parameter.","50648","test_wal_compression_config","tests.integration","2026-07-26","passed","2026-07-26","","test_config","",""
"Test that an application can connect to different clusters of the same database.","141144","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_1","",""
"Kill primary unit, check reelection.","83090","test_reelection","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_replication","",""
"Test data is replicated to new units after a scale up.","227149","test_scale_down_and_up","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","657297","test_backup_ceph","tests.integration","2026-07-26","passed","2026-07-26","","test_backups_ceph","",""
"Build and deploy the charm and saturate its pgdata volume.","686575","test_filling_and_emptying_pgdata_storage","tests.integration","2026-07-26","passed","2026-07-26","","test_storage","",""
"Test that async replication fails over correctly.","83478","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"Test async replication between two PostgreSQL clusters.","228046","test_async_replication","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_async_replication","",""
"Write to primary, read data from secondaries (check consistency).","15455","test_consistency","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_replication","",""
"Test charm deploy in dirty environment with garbage storage.","104110","test_app_garbage_ignorance","tests.integration.ha_tests","2026-07-26","passed","2026-07-26","","test_smoke","",""
"","68874","test_roles_blocking","tests.integration","2026-07-26","passed","2026-07-26","","test_db","",""
"","2151","test_settings_are_correct[0]","tests.integration","2026-07-26","passed","2026-07-26","","test_charm","",""
"Tests deploying and relating to the Indico charm.","250892","test_indico_datatabase","tests.integration.new_relations","2026-07-26","passed","2026-07-26","","test_new_relations_2","",""
