"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that in general, there is no change when password validation fails.","10473","test_no_password_change_on_invalid_password","tests.integration","2026-08-18","passed","2026-08-18","","test_password_rotation","",""
"Test switching over to the second cluster.","184683","test_switchover","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_async_replication","",""
"Test that the admin role gives access to all the databases.","122899","test_admin_role","tests.integration.new_relations","2026-08-18","passed","2026-08-18","","test_new_relations_1","",""
"Test promoting the standby cluster.","75250","test_promote_standby","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_async_replication","",""
"Test that's possible to change PostgreSQL parameters.","","test_postgresql_parameters_change","tests.integration","","unknown","","","test_charm","",""
"","","test_settings_are_correct[2]","tests.integration","","unknown","","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","38845","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_self_healing_1","",""
"","92671","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_self_healing_1","",""
"","95859","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_self_healing_1","",""
"Test restart of all the units simultaneously.","","test_restart","tests.integration.ha_tests","","unknown","","","test_restart","",""
"Test that check relation data.","395474","test_relations","tests.integration.new_relations","2026-08-18","passed","2026-08-18","","test_relations_coherence","",""
"Scale the database to zero units and scale up again.","190667","test_scaling_to_zero","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_self_healing_2","",""
"","260998","test_invalid_extra_user_roles","tests.integration.new_relations","2026-08-18","passed","2026-08-18","","test_new_relations_1","",""
"","41143","test_constant","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_synchronous_policy","",""
"Test basic functionality of database relation interface.","288865","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-08-18","passed","2026-08-18","","test_new_relations_1","",""
"Test async replication between two PostgreSQL clusters.","211880","test_async_replication","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_async_replication","",""
"","15237","test_default_all","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_synchronous_policy","",""
"","151221","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-08-18","passed","2026-08-18","","test_relations","",""
"","","test_exporter_is_up[0]","tests.integration","","unknown","","","test_charm","",""
"Test updating from stable channel.","283565","test_upgrade_from_stable","tests.integration.ha_tests","2026-08-18","passed","2026-08-18","","test_upgrade_from_stable","",""
"Test that the user is removed when the relation is broken.","44935","test_relation_broken","tests.integration.new_relations","2026-08-18","passed","2026-08-18","","test_new_relations_1","",""
"Test that passwords don't get exposed on postgresql logs.","1285","test_no_password_exposed_on_logs","tests.integration","2026-08-18","passed","2026-08-18","","test_password_rotation","",""
"Test superuser actions and the request for more permissions.","1132","test_user_with_extra_roles","tests.integration.new_relations","2026-08-18","passed","2026-08-18","","test_new_relations_1","",""
