"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Write to primary, read data from secondaries (check consistency).","15449","test_consistency","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_replication","",""
"Test that check relation data.","255777","test_relations","tests.integration.new_relations","2026-08-08","passed","2026-08-08","","test_relations_coherence","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-08-08","skipped","2026-08-08","","test_backups_gcp","",""
"Test that async replication fails back correctly.","71850","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_async_replication","",""
"Test that in general, there is no change when password validation fails.","10429","test_no_password_change_on_invalid_password","tests.integration","2026-08-08","passed","2026-08-08","","test_password_rotation","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","145477","test_build_and_deploy","tests.integration","2026-08-08","passed","2026-08-08","","test_charm","",""
"Build and deploy three units of PostgreSQL.","79718","test_build_and_deploy","tests.integration","2026-08-08","passed","2026-08-08","","test_ldap","",""
"Build and deploy three unit of PostgreSQL.","199835","test_build_and_deploy","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_self_healing_1","",""
"","80194","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-08-08","skipped","2026-08-08","","test_backups_aws","",""
"Test that the relation can be broken and re-established.","128800","test_reestablish_relation","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_async_replication","",""
"","40049","test_constant","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_synchronous_policy","",""
"Build and deploy three units of PostgreSQL.","6735","test_build_and_deploy","tests.integration","2026-08-08","passed","2026-08-08","","test_tls","",""
"","15","test_labels_consistency_across_pods[2]","tests.integration","2026-08-08","passed","2026-08-08","","test_charm","",""
"","24","test_labels_consistency_across_pods[0]","tests.integration","2026-08-08","passed","2026-08-08","","test_charm","",""
"Test restart of all the units simultaneously.","118084","test_restart","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_restart","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-08-08","skipped","2026-08-08","","test_wrong_arch","",""
"Test that async replication fails over correctly.","77927","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-08","skipped","2026-08-08","","test_upgrade_to_primary_label","",""
"","80955","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_self_healing_1","",""
"Test that there is no read-only endpoint in a standalone cluster.","99424","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-08-08","passed","2026-08-08","","test_new_relations_1","",""
"Test that the pre-upgrade-check action runs successfully.","8309","test_pre_upgrade_check","tests.integration.ha_tests","2026-08-08","passed","2026-08-08","","test_upgrade","",""
"","36","test_application_created_required_resources","tests.integration","2026-08-08","passed","2026-08-08","","test_charm","",""
