"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60098","test_roles_blocking","tests.integration","2026-08-20","passed","2026-08-20","","test_db","",""
"","246421","test_extensions_blocking","tests.integration","2026-08-20","passed","2026-08-20","","test_db","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","93385","test_deploy_without_trust","tests.integration","2026-08-20","passed","2026-08-20","","test_trust","",""
"Build and deploy three unit of PostgreSQL.","156700","test_build_and_deploy","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_synchronous_policy","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","136233","test_plugin_objects","tests.integration","2026-08-20","passed","2026-08-20","","test_plugins","",""
"Test switching over to the second cluster.","188989","test_switchover","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_async_replication","",""
"Tests that the cluster maintains a primary after the primary is deleted.","62807","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-08-20","passed","2026-08-20","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-20","skipped","2026-08-20","","test_self_healing_1","",""
"Write to primary, read data from secondaries (check consistency).","15484","test_consistency","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_replication","",""
"Test async replication between two PostgreSQL clusters.","219623","test_async_replication","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_async_replication","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","2026-08-20","skipped","2026-08-20","","test_self_healing_1","",""
"","239802","test_glauth_integration","tests.integration","2026-08-20","passed","2026-08-20","","test_ldap","",""
"","389254","test_discourse","tests.integration.new_relations","2026-08-20","passed","2026-08-20","","test_new_relations_2","",""
"Test the audit plugin.","142442","test_audit_plugin","tests.integration","2026-08-20","passed","2026-08-20","","test_audit","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","180469","test_deploy_latest","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_upgrade","",""
"","98171","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_self_healing_1","",""
"Check that writes in one cluster are not replicated to another cluster.","133433","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-08-20","passed","2026-08-20","","test_replication","",""
"","40101","test_application_removal","tests.integration","2026-08-20","passed","2026-08-20","","test_charm","",""
