"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that two different application connect to the database with different credentials.","102549","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-05","passed","2026-08-05","","test_new_relations_1","",""
"","296819","test_upgrade_from_edge","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_upgrade","",""
"","43623","test_application_removal","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
"Test that there is no read-only endpoint in a standalone cluster.","82572","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-08-05","passed","2026-08-05","","test_new_relations_1","",""
"Deploy both charms (application and database) to use in the tests.","76078","test_deploy_charms","tests.integration.relations","2026-08-05","passed","2026-08-05","","test_relations","",""
"","33","test_labels_consistency_across_pods[2]","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","31062","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_self_healing_1","",""
"","96701","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_self_healing_1","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","268997","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_async_replication","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-08-05","skipped","2026-08-05","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-08-05","skipped","2026-08-05","","test_backups_aws","",""
"","97","test_exporter_is_up[1]","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
"Tests that the cluster maintains a primary after the primary is deleted.","61716","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
"","2062","test_settings_are_correct[2]","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
"Test that the user is removed when the relation is broken.","44755","test_relation_broken","tests.integration.new_relations","2026-08-05","passed","2026-08-05","","test_new_relations_1","",""
"","22138","test_switchover_sync_standby","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","221777","test_build_and_deploy","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_replication","",""
"","81748","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_self_healing_1","",""
"Test that a relation with no database name doesn't block the charm.","55193","test_relation_with_no_database_name","tests.integration.new_relations","2026-08-05","passed","2026-08-05","","test_new_relations_1","",""
"Test that an application can connect to different clusters of the same database.","119572","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-05","passed","2026-08-05","","test_new_relations_1","",""
"Test switching over to the second cluster.","165949","test_switchover","tests.integration.ha_tests","2026-08-05","passed","2026-08-05","","test_async_replication","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","203205","test_mattermost_db","tests.integration","2026-08-05","failed","2026-08-05","","test_tls","",""
"","127","test_labels_consistency_across_pods[1]","tests.integration","2026-08-05","passed","2026-08-05","","test_charm","",""
