"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A forceful restart with deleted data and without transaction logs (forced clone).","637612","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-08-13","failed","2026-08-13","","test_self_healing_1","",""
"Test async replication between two PostgreSQL clusters.","220883","test_async_replication","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_async_replication","",""
"","21","test_database_is_up[1]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Test that a previously broken relation would be functional if restored.","99146","test_restablish_relation","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-08-13","skipped","2026-08-13","","test_backups_gcp","",""
"Test the audit plugin.","141753","test_audit_plugin","tests.integration","2026-08-13","passed","2026-08-13","","test_audit","",""
"Build and deploy three unit of PostgreSQL.","201330","test_build_and_deploy","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_replication","",""
"Test that the user is removed when the relation is broken.","48697","test_relation_broken","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"Test wal_compression configuration parameter.","51097","test_wal_compression_config","tests.integration","2026-08-13","passed","2026-08-13","","test_config","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-13","skipped","2026-08-13","","test_upgrade_to_primary_label","",""
"Delete headless service, verify error state, recreate, and recover.","37212","test_headless_service_error_and_recovery","tests.integration","2026-08-13","passed","2026-08-13","","test_headless_service","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","112740","test_trust_blocked_deployment","tests.integration","2026-08-13","passed","2026-08-13","","test_trust","",""
"Build and deploy the charm and saturate its pgdata volume.","649945","test_filling_and_emptying_pgdata_storage","tests.integration","2026-08-13","passed","2026-08-13","","test_storage","",""
"Deploy both charms (application and database) to use in the tests.","79008","test_deploy_charms","tests.integration.relations","2026-08-13","passed","2026-08-13","","test_relations","",""
"Test that user can't connect with empty password.","2044","test_db_connection_with_empty_password","tests.integration","2026-08-13","passed","2026-08-13","","test_password_rotation","",""
"Test that async replication fails back correctly.","85611","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_async_replication","",""
"","263435","test_pg_hba","tests.integration","2026-08-13","passed","2026-08-13","","test_pg_hba","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","586266","test_backup_ceph","tests.integration","2026-08-13","passed","2026-08-13","","test_backups_ceph","",""
"","38802","test_constant","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_synchronous_policy","",""
"Test basic functionality of database relation interface.","151390","test_database_deploy_clientapps","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_2","",""
"Build and deploy three unit of PostgreSQL.","230201","test_build_and_deploy","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_synchronous_policy","",""
"","90457","test_glauth_integration","tests.integration","2026-08-13","broken","2026-08-13","","test_ldap","",""
"Deploy the charm and wait for active/idle.","159577","test_deploy","tests.integration","2026-08-13","passed","2026-08-13","","test_headless_service","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2427","test_password_from_secret_same_as_cli","tests.integration","2026-08-13","passed","2026-08-13","","test_password_rotation","",""
"Test that an application can connect to different clusters of the same database.","109111","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"Test data is replicated to new units after a scale up.","250775","test_scale_down_and_up","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"","80721","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_1","",""
"Build and deploy three units of PostgreSQL.","29894","test_build_and_deploy","tests.integration","2026-08-13","passed","2026-08-13","","test_tls","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1738919","test_pitr_backup_ceph","tests.integration","2026-08-13","passed","2026-08-13","","test_backups_pitr_ceph","",""
"","22","test_database_is_up[0]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Test updating from stable channel.","293047","test_upgrade_from_stable","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_upgrade_from_stable","",""
"Remove unit with force while storage is alive.","97380","test_app_force_removal","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_smoke","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-08-13","skipped","2026-08-13","","test_backups_aws","",""
"","0","test_block_on_missing_region","tests.integration","2026-08-13","skipped","2026-08-13","","test_backups_gcp","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","176286","test_plugins","tests.integration","2026-08-13","passed","2026-08-13","","test_plugins","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","2026-08-13","skipped","2026-08-13","","test_self_healing_1","",""
"Check that writes in one cluster are not replicated to another cluster.","135174","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_replication","",""
"Test that two different application connect to the database with different credentials.","103077","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"","0","test_delete_pod","tests.integration","2026-08-13","skipped","2026-08-13","","test_backups_gcp","",""
"","21","test_database_is_up[2]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Test worker process configuration parameters are applied correctly.","48700","test_worker_process_configs","tests.integration","2026-08-13","passed","2026-08-13","","test_config","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-08-13","skipped","2026-08-13","","test_backups_pitr_gcp","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","35167","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_1","",""
"Scale the database to zero units and scale up again.","188523","test_scaling_to_zero","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_2","",""
"","80266","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_1","",""
"Test that the pre-upgrade-check action runs successfully.","10237","test_pre_upgrade_check","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_upgrade","",""
"","80876","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_1","",""
"","2052","test_settings_are_correct[1]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Test that async replication fails over correctly.","77034","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_async_replication","",""
"Test that the pre-upgrade-check action runs successfully.","10218","test_pre_upgrade_check","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_upgrade_from_stable","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-08-13","skipped","2026-08-13","","test_upgrade_to_primary_label","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","156846","test_plugin_objects","tests.integration","2026-08-13","passed","2026-08-13","","test_plugins","",""
"","73048","test_remove_tls","tests.integration","2026-08-13","passed","2026-08-13","","test_tls","",""
"","21","test_labels_consistency_across_pods[2]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Build and deploy three units of PostgreSQL.","90051","test_build_and_deploy","tests.integration","2026-08-13","passed","2026-08-13","","test_ldap","",""
"Test that there is no read-only endpoint in a standalone cluster.","87417","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","236227","test_build_and_deploy","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_2","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","177702","test_deploy_latest","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_upgrade","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","100452","test_config_parameters","tests.integration","2026-08-13","passed","2026-08-13","","test_config","",""
"Kill primary unit, check reelection.","84667","test_reelection","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_replication","",""
"","24","test_labels_consistency_across_pods[1]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"","92195","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_self_healing_1","",""
"Tries deploying an arm64 charm on amd64 host.","59400","test_arm_charm_on_amd_host","tests.integration","2026-08-13","passed","2026-08-13","","test_wrong_arch","",""
"Test switching over to the second cluster.","189723","test_switchover","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_async_replication","",""
"Test that an application can connect to different clusters of the same database.","124375","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"Test that's possible to change PostgreSQL parameters.","67965","test_postgresql_parameters_change","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Test that the password can't be set to an empty string.","8130","test_empty_password","tests.integration","2026-08-13","passed","2026-08-13","","test_password_rotation","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","20215","test_automatic_failover_after_leader_issue","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-08-13","skipped","2026-08-13","","test_rollback_to_master_label","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-08-13","skipped","2026-08-13","","test_backups_pitr_aws","",""
"","59","test_exporter_is_up[0]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
"Test that there is read-only endpoint in a scaled up cluster.","191735","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-08-13","passed","2026-08-13","","test_new_relations_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","590647","test_app_resources_conflicts","tests.integration.ha_tests","2026-08-13","passed","2026-08-13","","test_smoke","",""
"","2060","test_settings_are_correct[2]","tests.integration","2026-08-13","passed","2026-08-13","","test_charm","",""
