"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test restart of all the units simultaneously.","113819","test_restart","tests.integration.ha_tests","2026-08-04","passed","2026-08-04","","test_restart","",""
"Kill primary unit, check reelection.","90252","test_reelection","tests.integration.ha_tests","2026-08-04","passed","2026-08-04","","test_replication","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-08-04","skipped","2026-08-04","","test_backups_pitr_gcp","",""
"Test worker process configuration parameters are applied correctly.","46536","test_worker_process_configs","tests.integration","2026-08-04","passed","2026-08-04","","test_config","",""
"","2057","test_settings_are_correct[0]","tests.integration","2026-08-04","passed","2026-08-04","","test_charm","",""
"Deploy the charm and wait for active/idle.","192419","test_deploy","tests.integration","2026-08-04","passed","2026-08-04","","test_headless_service","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-04","skipped","2026-08-04","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","598112","test_backup_ceph","tests.integration","2026-08-04","passed","2026-08-04","","test_backups_ceph","",""
"Build and deploy three units of PostgreSQL.","6881","test_build_and_deploy","tests.integration","2026-08-04","passed","2026-08-04","","test_tls","",""
"","54","test_exporter_is_up[2]","tests.integration","2026-08-04","passed","2026-08-04","","test_charm","",""
"","42615","test_application_removal","tests.integration","2026-08-04","passed","2026-08-04","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1560597","test_pitr_backup_ceph","tests.integration","2026-08-04","passed","2026-08-04","","test_backups_pitr_ceph","",""
"","86809","test_remove_tls","tests.integration","2026-08-04","passed","2026-08-04","","test_tls","",""
"","293445","test_upgrade_from_edge","tests.integration.ha_tests","2026-08-04","passed","2026-08-04","","test_upgrade","",""
"","274163","test_invalid_extra_user_roles","tests.integration.new_relations","2026-08-04","passed","2026-08-04","","test_new_relations_1","",""
"","2053","test_settings_are_correct[1]","tests.integration","2026-08-04","passed","2026-08-04","","test_charm","",""
"Tries deploying an arm64 charm on amd64 host.","53725","test_arm_charm_on_amd_host","tests.integration","2026-08-04","passed","2026-08-04","","test_wrong_arch","",""
"Build the charm and deploy it.","223782","test_deploy_active","tests.integration","2026-08-04","passed","2026-08-04","","test_password_rotation","",""
"","80790","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-04","passed","2026-08-04","","test_self_healing_1","",""
"Test that in general, there is no change when password validation fails.","10679","test_no_password_change_on_invalid_password","tests.integration","2026-08-04","passed","2026-08-04","","test_password_rotation","",""
"Test that two different application connect to the database with different credentials.","100388","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-04","passed","2026-08-04","","test_new_relations_1","",""
