"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","229844","test_glauth_integration","tests.integration","2026-08-30","passed","2026-08-30","","test_ldap","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-08-30","skipped","2026-08-30","","test_rollback_to_master_label","",""
"Test that async replication fails back correctly.","82131","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-30","skipped","2026-08-30","","test_upgrade_to_primary_label","",""
"Build and deploy three unit of PostgreSQL.","229795","test_build_and_deploy","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_self_healing_1","",""
"","89693","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_self_healing_1","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","432095","test_finos_waltz_db","tests.integration","2026-08-30","passed","2026-08-30","","test_db","",""
"Test superuser actions and the request for more permissions.","743","test_user_with_extra_roles","tests.integration.new_relations","2026-08-30","passed","2026-08-30","","test_new_relations_1","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-08-30","skipped","2026-08-30","","test_backups_gcp","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-30","skipped","2026-08-30","","test_rollback_to_master_label","",""
"Test password rotation action.","","test_password_rotation","tests.integration","","unknown","","","test_password_rotation","",""
"","362772","test_discourse","tests.integration.new_relations","2026-08-30","passed","2026-08-30","","test_new_relations_2","",""
"Build and deploy the charm and saturate its pgdata volume.","665787","test_filling_and_emptying_pgdata_storage","tests.integration","2026-08-30","passed","2026-08-30","","test_storage","",""
"Test switching over to the second cluster.","182407","test_switchover","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_async_replication","",""
"Test that the password can't be set to an empty string.","","test_empty_password","tests.integration","","unknown","","","test_password_rotation","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","265991","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_async_replication","",""
"Redeploy the charm in the same model to test that it works.","140908","test_redeploy_charm_same_model","tests.integration","2026-08-30","passed","2026-08-30","","test_charm","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","","test_trust_blocked_deployment","tests.integration","","unknown","","","test_trust","",""
"Test that a relation with no database name doesn't block the charm.","48017","test_relation_with_no_database_name","tests.integration.new_relations","2026-08-30","passed","2026-08-30","","test_new_relations_1","",""
"","80702","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-08-30","skipped","2026-08-30","","test_backups_aws","",""
"","15187","test_default_all","tests.integration.ha_tests","2026-08-30","passed","2026-08-30","","test_synchronous_policy","",""
