"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that an application can request additional databases using the same interface.","91532","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-08-25","passed","2026-08-25","","test_new_relations_1","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-08-25","skipped","2026-08-25","","test_rollback_to_master_label","",""
"Build and deploy three units of PostgreSQL.","6416","test_build_and_deploy","tests.integration","2026-08-25","passed","2026-08-25","","test_tls","",""
"Test that user can't connect with empty password.","2042","test_db_connection_with_empty_password","tests.integration","2026-08-25","passed","2026-08-25","","test_password_rotation","",""
"Deploy both charms (application and database) to use in the tests.","85350","test_deploy_charms","tests.integration.relations","2026-08-25","passed","2026-08-25","","test_relations","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-25","skipped","2026-08-25","","test_async_replication","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","186734","test_plugins","tests.integration","2026-08-25","passed","2026-08-25","","test_plugins","",""
"","312083","test_fail_and_rollback","tests.integration.ha_tests","2026-08-25","passed","2026-08-25","","test_upgrade","",""
"Tries deploying an arm64 charm on amd64 host.","52556","test_arm_charm_on_amd_host","tests.integration","2026-08-25","passed","2026-08-25","","test_wrong_arch","",""
"Build and deploy three units of PostgreSQL.","74881","test_build_and_deploy","tests.integration","2026-08-25","passed","2026-08-25","","test_ldap","",""
"Build and deploy three unit of PostgreSQL.","134407","test_build_and_deploy","tests.integration.ha_tests","2026-08-25","passed","2026-08-25","","test_synchronous_policy","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","184674","test_deploy_stable","tests.integration.ha_tests","2026-08-25","passed","2026-08-25","","test_upgrade_from_stable","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","40157","test_deploy_without_trust","tests.integration","2026-08-25","passed","2026-08-25","","test_trust","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","180734","test_mattermost_db","tests.integration","2026-08-25","passed","2026-08-25","","test_tls","",""
"Test that two different application connect to the database with different credentials.","103888","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-25","passed","2026-08-25","","test_new_relations_1","",""
"Test restart of all the units simultaneously.","","test_restart","tests.integration.ha_tests","","unknown","","","test_restart","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2026-08-25","skipped","2026-08-25","","test_backups_gcp","",""
"","18","test_database_is_up[1]","tests.integration","2026-08-25","passed","2026-08-25","","test_charm","",""
"Test that a previously broken relation would be functional if restored.","111237","test_restablish_relation","tests.integration.new_relations","2026-08-25","passed","2026-08-25","","test_new_relations_1","",""
"Test that an application can connect to different clusters of the same database.","122974","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-25","passed","2026-08-25","","test_new_relations_1","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","149656","test_build_and_deploy","tests.integration","2026-08-25","passed","2026-08-25","","test_charm","",""
"","77344","test_roles_blocking","tests.integration","2026-08-25","passed","2026-08-25","","test_db","",""
"Test that an application can connect to different clusters of the same database.","126701","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-08-25","passed","2026-08-25","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","32492","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-25","passed","2026-08-25","","test_self_healing_1","",""
