"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-08-15","skipped","2026-08-15","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-08-15","skipped","2026-08-15","","test_backups_pitr_aws","",""
"","274675","test_extensions_blocking","tests.integration","2026-08-15","passed","2026-08-15","","test_db","",""
"","46","test_exporter_is_up[0]","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-08-15","skipped","2026-08-15","","test_wrong_arch","",""
"","42115","test_application_removal","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"","372277","test_discourse","tests.integration.new_relations","2026-08-15","passed","2026-08-15","","test_new_relations_2","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-08-15","skipped","2026-08-15","","test_backups_pitr_gcp","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-08-15","skipped","2026-08-15","","test_backups_gcp","",""
"Delete headless service, verify error state, recreate, and recover.","32967","test_headless_service_error_and_recovery","tests.integration","2026-08-15","passed","2026-08-15","","test_headless_service","",""
"Build and deploy the charm and saturate its pgdata volume.","709076","test_filling_and_emptying_pgdata_storage","tests.integration","2026-08-15","passed","2026-08-15","","test_storage","",""
"","34","test_application_created_required_resources","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"","19130","test_switchover_sync_standby","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"","91037","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_self_healing_1","",""
"","148231","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-08-15","passed","2026-08-15","","test_relations","",""
"Scale the database to zero units and scale up again.","187186","test_scaling_to_zero","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_self_healing_2","",""
"Test that's possible to change PostgreSQL parameters.","70880","test_postgresql_parameters_change","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"Test that async replication fails over correctly.","72893","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_async_replication","",""
"","55","test_exporter_is_up[2]","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"Write to primary, read data from secondaries (check consistency).","15453","test_consistency","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_replication","",""
"Tests deploying and relating to the Indico charm.","230407","test_indico_datatabase","tests.integration.new_relations","2026-08-15","passed","2026-08-15","","test_new_relations_2","",""
"Test that the relation can be broken and re-established.","144703","test_reestablish_relation","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_async_replication","",""
"","23","test_labels_consistency_across_pods[1]","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
"Completely cut and restore network.","266797","test_network_cut","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_self_healing_1","",""
"Build and deploy three unit of PostgreSQL.","150346","test_build_and_deploy","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_synchronous_policy","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-15","skipped","2026-08-15","","test_upgrade_to_primary_label","",""
"","318021","test_fail_and_rollback","tests.integration.ha_tests","2026-08-15","passed","2026-08-15","","test_upgrade","",""
"","53","test_exporter_is_up[1]","tests.integration","2026-08-15","passed","2026-08-15","","test_charm","",""
