"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy the charm and saturate its pgdata volume.","638160","test_filling_and_emptying_pgdata_storage","tests.integration","2026-07-29","passed","2026-07-29","","test_storage","",""
"Build and deploy three units of PostgreSQL.","96598","test_build_and_deploy","tests.integration","2026-07-29","passed","2026-07-29","","test_ldap","",""
"Test that the admin role gives access to all the databases.","144739","test_admin_role","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_new_relations_1","",""
"","40633","test_constant","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_synchronous_policy","",""
"Scale the database to zero units and scale up again.","273246","test_scaling_to_zero","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_2","",""
"Test data is replicated to new units after a scale up.","250426","test_scale_down_and_up","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-07-29","skipped","2026-07-29","","test_backups_gcp","",""
"Test that's possible to change PostgreSQL parameters.","65896","test_postgresql_parameters_change","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","168882","test_build_and_deploy","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"","19","test_database_is_up[2]","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","118387","test_config_parameters","tests.integration","2026-07-29","passed","2026-07-29","","test_config","",""
"","0","test_block_on_missing_region","tests.integration","2026-07-29","skipped","2026-07-29","","test_backups_gcp","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-07-29","skipped","2026-07-29","","test_backups_gcp","",""
"Completely cut and restore network.","251865","test_network_cut","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"Test updating from stable channel.","291771","test_upgrade_from_stable","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_upgrade_from_stable","",""
"Test that a relation with no database name doesn't block the charm.","62701","test_relation_with_no_database_name","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_new_relations_1","",""
"Test that there is no read-only endpoint in a standalone cluster.","114454","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_new_relations_1","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","66197","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1636479","test_pitr_backup_ceph","tests.integration","2026-07-29","passed","2026-07-29","","test_backups_pitr_ceph","",""
"Test that async replication fails back correctly.","88579","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_async_replication","",""
"","15","test_labels_consistency_across_pods[2]","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"","90003","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"","2080","test_settings_are_correct[2]","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Deploy the charm and wait for active/idle.","139392","test_deploy","tests.integration","2026-07-29","passed","2026-07-29","","test_headless_service","",""
"","210787","test_pg_hba","tests.integration","2026-07-29","passed","2026-07-29","","test_pg_hba","",""
"Tests deploying and relating to the Indico charm.","227874","test_indico_datatabase","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_new_relations_2","",""
"","48","test_exporter_is_up[1]","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","7152","test_pre_upgrade_check","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_upgrade","",""
"Build and deploy three units of PostgreSQL.","7126","test_build_and_deploy","tests.integration","2026-07-29","passed","2026-07-29","","test_tls","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","395679","test_finos_waltz_db","tests.integration","2026-07-29","passed","2026-07-29","","test_db","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-07-29","skipped","2026-07-29","","test_backups_pitr_aws","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","38244","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-07-29","skipped","2026-07-29","","test_upgrade_to_primary_label","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","28600","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"","83061","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"","20","test_database_is_up[1]","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"","376512","test_discourse","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_new_relations_2","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","38451","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_self_healing_1","",""
"Test that check relation data.","289198","test_relations","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_relations_coherence","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2026-07-29","skipped","2026-07-29","","test_backups_gcp","",""
"","95731","test_remove_tls","tests.integration","2026-07-29","passed","2026-07-29","","test_tls","",""
"Test that async replication works when scaling the clusters.","557856","test_scaling","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_async_replication","",""
"Write to primary, read data from secondaries (check consistency).","15467","test_consistency","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_replication","",""
"Test worker process configuration parameters are applied correctly.","46559","test_worker_process_configs","tests.integration","2026-07-29","passed","2026-07-29","","test_config","",""
"","265655","test_glauth_integration","tests.integration","2026-07-29","passed","2026-07-29","","test_ldap","",""
"Test that the charm can be deployed with a storage with more restrictive permissions.","74455","test_storage_with_more_restrictive_permissions","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"","38958","test_majority","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_synchronous_policy","",""
"","15345","test_default_all","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_synchronous_policy","",""
"","31200","test_switchover_sync_standby","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Redeploy the charm in the same model to test that it works.","147563","test_redeploy_charm_same_model","tests.integration","2026-07-29","passed","2026-07-29","","test_charm","",""
"Delete headless service, verify error state, recreate, and recover.","26677","test_headless_service_error_and_recovery","tests.integration","2026-07-29","passed","2026-07-29","","test_headless_service","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-07-29","skipped","2026-07-29","","test_wrong_arch","",""
"Kill primary unit, check reelection.","87192","test_reelection","tests.integration.ha_tests","2026-07-29","passed","2026-07-29","","test_replication","",""
"Test that the user is removed when the relation is broken.","51460","test_relation_broken","tests.integration.new_relations","2026-07-29","passed","2026-07-29","","test_new_relations_1","",""
