"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test basic functionality of database relation interface.","323227","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-07-28","passed","2026-07-28","","test_new_relations_1","",""
"","80114","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_self_healing_1","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","20323","test_automatic_failover_after_leader_issue","tests.integration","2026-07-28","passed","2026-07-28","","test_charm","",""
"Test updating from stable channel.","271930","test_upgrade_from_stable","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_upgrade_from_stable","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-07-28","skipped","2026-07-28","","test_rollback_to_master_label","",""
"Test that the password can't be set to an empty string.","7114","test_empty_password","tests.integration","2026-07-28","passed","2026-07-28","","test_password_rotation","",""
"","2058","test_settings_are_correct[2]","tests.integration","2026-07-28","passed","2026-07-28","","test_charm","",""
"Build and deploy three units of PostgreSQL.","73689","test_build_and_deploy","tests.integration","2026-07-28","passed","2026-07-28","","test_ldap","",""
"","308339","test_invalid_extra_user_roles","tests.integration.new_relations","2026-07-28","passed","2026-07-28","","test_new_relations_1","",""
"Test async replication between two PostgreSQL clusters.","229206","test_async_replication","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_async_replication","",""
"Test that the admin role gives access to all the databases.","169638","test_admin_role","tests.integration.new_relations","2026-07-28","passed","2026-07-28","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","34519","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_self_healing_1","",""
"","31","test_labels_consistency_across_pods[0]","tests.integration","2026-07-28","passed","2026-07-28","","test_charm","",""
"Deploy the charm and wait for active/idle.","187641","test_deploy","tests.integration","2026-07-28","passed","2026-07-28","","test_headless_service","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","186636","test_deploy_stable","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_upgrade_from_stable","",""
"Test that the pre-upgrade-check action runs successfully.","10248","test_pre_upgrade_check","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_upgrade","",""
"Test that an application can connect to different clusters of the same database.","128716","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-07-28","passed","2026-07-28","","test_new_relations_1","",""
"","44","test_database_is_up[2]","tests.integration","2026-07-28","passed","2026-07-28","","test_charm","",""
"Test data persists through a graceful restart.","19263","test_persist_data_through_graceful_restart","tests.integration","2026-07-28","passed","2026-07-28","","test_charm","",""
"","78553","test_roles_blocking","tests.integration","2026-07-28","passed","2026-07-28","","test_db","",""
"Scale the database to zero units and scale up again.","212267","test_scaling_to_zero","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_self_healing_2","",""
"Test that an application can request additional databases using the same interface.","109254","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-07-28","passed","2026-07-28","","test_new_relations_1","",""
"Test the audit plugin.","166041","test_audit_plugin","tests.integration","2026-07-28","passed","2026-07-28","","test_audit","",""
"Test that in general, there is no change when password validation fails.","10432","test_no_password_change_on_invalid_password","tests.integration","2026-07-28","passed","2026-07-28","","test_password_rotation","",""
"Test charm deploy in dirty environment with garbage storage.","101530","test_app_garbage_ignorance","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_smoke","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","145449","test_plugin_objects","tests.integration","2026-07-28","passed","2026-07-28","","test_plugins","",""
"Deploy both charms (application and database) to use in the tests.","75846","test_deploy_charms","tests.integration.relations","2026-07-28","passed","2026-07-28","","test_relations","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-07-28","skipped","2026-07-28","","test_upgrade_to_primary_label","",""
"Write to primary, read data from secondaries (check consistency).","15442","test_consistency","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_replication","",""
"Completely cut and restore network.","248678","test_network_cut","tests.integration.ha_tests","2026-07-28","passed","2026-07-28","","test_self_healing_1","",""
