"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test worker process configuration parameters are applied correctly.","46499","test_worker_process_configs","tests.integration","2026-08-17","passed","2026-08-17","","test_config","",""
"","244337","test_glauth_integration","tests.integration","2026-08-17","passed","2026-08-17","","test_ldap","",""
"Test that the admin role gives access to all the databases.","141567","test_admin_role","tests.integration.new_relations","2026-08-17","passed","2026-08-17","","test_new_relations_1","",""
"Test that an application can connect to different clusters of the same database.","111323","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-08-17","passed","2026-08-17","","test_new_relations_1","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-17","skipped","2026-08-17","","test_rollback_to_master_label","",""
"Test promoting the standby cluster.","78776","test_promote_standby","tests.integration.ha_tests","2026-08-17","passed","2026-08-17","","test_async_replication","",""
"","212321","test_pg_hba","tests.integration","2026-08-17","passed","2026-08-17","","test_pg_hba","",""
"","285566","test_invalid_extra_user_roles","tests.integration.new_relations","2026-08-17","passed","2026-08-17","","test_new_relations_1","",""
"Scale the database to zero units and scale up again.","183822","test_scaling_to_zero","tests.integration.ha_tests","2026-08-17","passed","2026-08-17","","test_self_healing_2","",""
"","53","test_application_created_required_resources","tests.integration","2026-08-17","passed","2026-08-17","","test_charm","",""
"","326877","test_fail_and_rollback","tests.integration.ha_tests","2026-08-17","passed","2026-08-17","","test_upgrade","",""
"Test superuser actions and the request for more permissions.","748","test_user_with_extra_roles","tests.integration.new_relations","2026-08-17","passed","2026-08-17","","test_new_relations_1","",""
"","2059","test_settings_are_correct[1]","tests.integration","2026-08-17","passed","2026-08-17","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-17","skipped","2026-08-17","","test_upgrade_to_primary_label","",""
"Test charm deploy in dirty environment with garbage storage.","99996","test_app_garbage_ignorance","tests.integration.ha_tests","2026-08-17","passed","2026-08-17","","test_smoke","",""
