"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test password rotation action.","149878","test_password_rotation","tests.integration","2026-08-28","passed","2026-08-28","","test_password_rotation","",""
"Redeploy the charm in the same model to test that it works.","142708","test_redeploy_charm_same_model","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Test basic functionality of database relation interface.","312405","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Test async replication between two PostgreSQL clusters.","201185","test_async_replication","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_async_replication","",""
"Test that in general, there is no change when password validation fails.","11795","test_no_password_change_on_invalid_password","tests.integration","2026-08-28","passed","2026-08-28","","test_password_rotation","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","23376","test_automatic_failover_after_leader_issue","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Test wal_compression configuration parameter.","49697","test_wal_compression_config","tests.integration","2026-08-28","passed","2026-08-28","","test_config","",""
"Kill primary unit, check reelection.","88354","test_reelection","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_replication","",""
"","464091","test_discourse","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_2","",""
"Test charm deploy in dirty environment with garbage storage.","99057","test_app_garbage_ignorance","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_smoke","",""
"","209667","test_pg_hba","tests.integration","2026-08-28","passed","2026-08-28","","test_pg_hba","",""
"","40636","test_majority","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_synchronous_policy","",""
"Test that an application can connect to different clusters of the same database.","127261","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-08-28","skipped","2026-08-28","","test_backups_gcp","",""
"Test that async replication works when scaling the clusters.","590209","test_scaling","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_async_replication","",""
"","83070","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_self_healing_1","",""
"Tests that the cluster maintains a primary after the primary is deleted.","362728","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Test that two different application connect to the database with different credentials.","101893","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","95904","test_config_parameters","tests.integration","2026-08-28","passed","2026-08-28","","test_config","",""
"Test data persists through a graceful restart.","19219","test_persist_data_through_graceful_restart","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Test the audit plugin.","141010","test_audit_plugin","tests.integration","2026-08-28","passed","2026-08-28","","test_audit","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","443536","test_finos_waltz_db","tests.integration","2026-08-28","passed","2026-08-28","","test_db","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","67152","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_self_healing_1","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-08-28","skipped","2026-08-28","","test_rollback_to_master_label","",""
"Build and deploy three units of PostgreSQL.","72968","test_build_and_deploy","tests.integration","2026-08-28","passed","2026-08-28","","test_ldap","",""
"Test that there is read-only endpoint in a scaled up cluster.","204795","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Tries deploying an arm64 charm on amd64 host.","54410","test_arm_charm_on_amd_host","tests.integration","2026-08-28","passed","2026-08-28","","test_wrong_arch","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-08-28","skipped","2026-08-28","","test_upgrade_to_primary_label","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","154219","test_plugin_objects","tests.integration","2026-08-28","passed","2026-08-28","","test_plugins","",""
"Test that's possible to change PostgreSQL parameters.","65553","test_postgresql_parameters_change","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"","2057","test_settings_are_correct[2]","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Test that the admin role gives access to all the databases.","141652","test_admin_role","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Test that user can't connect with empty password.","2049","test_db_connection_with_empty_password","tests.integration","2026-08-28","passed","2026-08-28","","test_password_rotation","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1728952","test_pitr_backup_ceph","tests.integration","2026-08-28","passed","2026-08-28","","test_backups_pitr_ceph","",""
"","323760","test_glauth_integration","tests.integration","2026-08-28","passed","2026-08-28","","test_ldap","",""
"Test superuser actions and the request for more permissions.","663","test_user_with_extra_roles","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"","27","test_labels_consistency_across_pods[2]","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"","97","test_exporter_is_up[1]","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Check that writes in one cluster are not replicated to another cluster.","133194","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_replication","",""
"","309612","test_invalid_extra_user_roles","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Test basic functionality of database relation interface.","145662","test_database_deploy_clientapps","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_2","",""
"","41838","test_constant","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_synchronous_policy","",""
"Build and deploy three unit of PostgreSQL.","","test_build_and_deploy","tests.integration.ha_tests","","unknown","","","test_self_healing_2","",""
"","30","test_labels_consistency_across_pods[1]","tests.integration","2026-08-28","passed","2026-08-28","","test_charm","",""
"Test that the password can't be set to an empty string.","8147","test_empty_password","tests.integration","2026-08-28","passed","2026-08-28","","test_password_rotation","",""
"","629102","test_fail_and_rollback","tests.integration.ha_tests","2026-08-28","broken","2026-08-28","","test_upgrade","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","274922","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-08-28","passed","2026-08-28","","test_async_replication","",""
"Test that a relation with no database name doesn't block the charm.","63615","test_relation_with_no_database_name","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","166197","test_mattermost_db","tests.integration","2026-08-28","passed","2026-08-28","","test_tls","",""
"Test that the user is removed when the relation is broken.","50148","test_relation_broken","tests.integration.new_relations","2026-08-28","passed","2026-08-28","","test_new_relations_1","",""
