"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kill primary unit, check reelection.","85517","test_reelection","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_replication","",""
"","23490","test_switchover_sync_standby","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","148372","test_plugin_objects","tests.integration","2026-08-29","passed","2026-08-29","","test_plugins","",""
"","14","test_database_is_up[1]","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"","46","test_exporter_is_up[1]","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","96710","test_config_parameters","tests.integration","2026-08-29","passed","2026-08-29","","test_config","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","28357","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_self_healing_1","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","168801","test_trust_blocked_deployment","tests.integration","2026-08-29","passed","2026-08-29","","test_trust","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-08-29","skipped","2026-08-29","","test_upgrade_to_primary_label","",""
"","80096","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_self_healing_1","",""
"","11","test_labels_consistency_across_pods[2]","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"Remove unit with force while storage is alive.","89980","test_app_force_removal","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_smoke","",""
"","0","test_block_on_missing_region","tests.integration","2026-08-29","skipped","2026-08-29","","test_backups_gcp","",""
"Test that there is read-only endpoint in a scaled up cluster.","169469","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-08-29","passed","2026-08-29","","test_new_relations_1","",""
"","154532","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-08-29","passed","2026-08-29","","test_relations","",""
"Test that's possible to change PostgreSQL parameters.","58246","test_postgresql_parameters_change","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"Test async replication between two PostgreSQL clusters.","213074","test_async_replication","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_async_replication","",""
"Test that async replication fails back correctly.","73178","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_async_replication","",""
"Tries deploying an arm64 charm on amd64 host.","56903","test_arm_charm_on_amd_host","tests.integration","2026-08-29","passed","2026-08-29","","test_wrong_arch","",""
"Test that async replication fails over correctly.","77369","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_async_replication","",""
"Build and deploy three unit of PostgreSQL.","230046","test_build_and_deploy","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_self_healing_1","",""
"Test that the admin role gives access to all the databases.","119014","test_admin_role","tests.integration.new_relations","2026-08-29","passed","2026-08-29","","test_new_relations_1","",""
"Test password rotation action.","157867","test_password_rotation","tests.integration","2026-08-29","passed","2026-08-29","","test_password_rotation","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","175691","test_deploy_stable","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_upgrade_from_stable","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-08-29","skipped","2026-08-29","","test_backups_pitr_gcp","",""
"Test updating from stable channel.","269375","test_upgrade_from_stable","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_upgrade_from_stable","",""
"Test that async replication works when scaling the clusters.","598228","test_scaling","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_async_replication","",""
"Delete headless service, verify error state, recreate, and recover.","34535","test_headless_service_error_and_recovery","tests.integration","2026-08-29","passed","2026-08-29","","test_headless_service","",""
"","2047","test_settings_are_correct[1]","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"Test that an application can connect to different clusters of the same database.","89261","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-08-29","passed","2026-08-29","","test_new_relations_1","",""
"Deploy both charms (application and database) to use in the tests.","79157","test_deploy_charms","tests.integration.relations","2026-08-29","passed","2026-08-29","","test_relations","",""
"Test data persists through a failure.","101013","test_persist_data_through_failure","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"Test data persists through a graceful restart.","19587","test_persist_data_through_graceful_restart","tests.integration","2026-08-29","passed","2026-08-29","","test_charm","",""
"","83039","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_self_healing_1","",""
"","305964","test_fail_and_rollback","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_upgrade","",""
"Test that two different application connect to the database with different credentials.","94139","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-08-29","passed","2026-08-29","","test_new_relations_1","",""
"Test switching over to the second cluster.","177444","test_switchover","tests.integration.ha_tests","2026-08-29","passed","2026-08-29","","test_async_replication","",""
