"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kill primary unit, check reelection.","79204","test_reelection","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_replication","",""
"Build and deploy three unit of PostgreSQL.","210032","test_build_and_deploy","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"Test superuser actions and the request for more permissions.","767","test_user_with_extra_roles","tests.integration.new_relations","2026-08-12","passed","2026-08-12","","test_new_relations_1","",""
"Build and deploy three units of PostgreSQL.","77872","test_build_and_deploy","tests.integration","2026-08-12","passed","2026-08-12","","test_ldap","",""
"Deploy both charms (application and database) to use in the tests.","73211","test_deploy_charms","tests.integration.relations","2026-08-12","passed","2026-08-12","","test_relations","",""
"","87825","test_remove_tls","tests.integration","2026-08-12","passed","2026-08-12","","test_tls","",""
"Test password rotation action.","149885","test_password_rotation","tests.integration","2026-08-12","passed","2026-08-12","","test_password_rotation","",""
"","0","test_delete_pod","tests.integration","2026-08-12","skipped","2026-08-12","","test_backups_gcp","",""
"","281607","test_upgrade_from_edge","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_upgrade","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","180211","test_plugins","tests.integration","2026-08-12","passed","2026-08-12","","test_plugins","",""
"Test data persists through a failure.","93156","test_persist_data_through_failure","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","37577","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","583626","test_app_resources_conflicts","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_smoke","",""
"Remove unit with force while storage is alive.","92460","test_app_force_removal","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_smoke","",""
"Test data is replicated to new units after a scale up.","240906","test_scale_down_and_up","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-08-12","skipped","2026-08-12","","test_backups_pitr_gcp","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","425535","test_finos_waltz_db","tests.integration","2026-08-12","passed","2026-08-12","","test_db","",""
"Test that an application can connect to different clusters of the same database.","126483","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-08-12","passed","2026-08-12","","test_new_relations_1","",""
"","82424","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"","22","test_database_is_up[0]","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","10218","test_pre_upgrade_check","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_upgrade_from_stable","",""
"Build and deploy three unit of PostgreSQL.","180304","test_build_and_deploy","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_replication","",""
"Test switching over to the second cluster.","159158","test_switchover","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_async_replication","",""
"","80913","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"","266498","test_extensions_blocking","tests.integration","2026-08-12","passed","2026-08-12","","test_db","",""
"","22","test_labels_consistency_across_pods[2]","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"Test promoting the standby cluster.","67560","test_promote_standby","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_async_replication","",""
"","41779","test_constant","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_synchronous_policy","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","19205","test_automatic_failover_after_leader_issue","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"","2055","test_settings_are_correct[2]","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-08-12","skipped","2026-08-12","","test_backups_pitr_aws","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","174461","test_deploy_stable","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_upgrade_from_stable","",""
"","99579","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1843881","test_pitr_backup_ceph","tests.integration","2026-08-12","passed","2026-08-12","","test_backups_pitr_ceph","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","155678","test_plugin_objects","tests.integration","2026-08-12","passed","2026-08-12","","test_plugins","",""
"Test that's possible to change PostgreSQL parameters.","73966","test_postgresql_parameters_change","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"","92018","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"","55","test_exporter_is_up[1]","tests.integration","2026-08-12","passed","2026-08-12","","test_charm","",""
"Delete headless service, verify error state, recreate, and recover.","33388","test_headless_service_error_and_recovery","tests.integration","2026-08-12","passed","2026-08-12","","test_headless_service","",""
"Test wal_compression configuration parameter.","49910","test_wal_compression_config","tests.integration","2026-08-12","passed","2026-08-12","","test_config","",""
"","15211","test_default_all","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_synchronous_policy","",""
"Build and deploy the charm and saturate its pgdata volume.","879717","test_filling_and_emptying_pgdata_storage","tests.integration","2026-08-12","passed","2026-08-12","","test_storage","",""
"","131985","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-08-12","passed","2026-08-12","","test_relations","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","40594","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"","80334","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-08-12","passed","2026-08-12","","test_self_healing_1","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","150999","test_trust_blocked_deployment","tests.integration","2026-08-12","passed","2026-08-12","","test_trust","",""
